SearchBayesianSkopt: Resuming 'IALSRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 44, 'epochs': 70, 'confidence_scaling': 'linear', 'alpha': 0.08875472111128377, 'epsilon': 0.5664828581434084, 'reg': 0.0003796823554974192} - results: PRECISION: 0.2232664, PRECISION_RECALL_MIN_DEN: 0.2248967, RECALL: 0.0497159, MAP: 0.1072479, MAP_MIN_DEN: 0.1079551, MRR: 0.4435837, NDCG: 0.2302303, F1: 0.0813232, HIT_RATE: 0.8922445, ARHR_ALL_HITS: 0.6875216, NOVELTY: 0.0055473, AVERAGE_POPULARITY: 0.5028097, DIVERSITY_MEAN_INTER_LIST: 0.9423831, DIVERSITY_HERFINDAHL: 0.9942314, COVERAGE_ITEM: 0.0420843, COVERAGE_ITEM_CORRECT: 0.0342212, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8917216, DIVERSITY_GINI: 0.0104815, SHANNON_ENTROPY: 7.9865993, RATIO_DIVERSITY_HERFINDAHL: 0.9946039, RATIO_DIVERSITY_GINI: 0.0402323, RATIO_SHANNON_ENTROPY: 0.6415000, RATIO_AVERAGE_POPULARITY: 2.5344038, RATIO_NOVELTY: 0.0326780, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'num_factors': 44, 'epochs': 70, 'confidence_scaling': 'linear', 'alpha': 0.08875472111128377, 'epsilon': 0.5664828581434084, 'reg': 0.0003796823554974192} - results:
CUTOFF: 10 - PRECISION: 0.2789971, PRECISION_RECALL_MIN_DEN: 0.2800680, RECALL: 0.0494502, MAP: 0.1461636, MAP_MIN_DEN: 0.1465503, MRR: 0.5181555, NDCG: 0.2878770, F1: 0.0840102, HIT_RATE: 0.9368082, ARHR_ALL_HITS: 0.8638239, NOVELTY: 0.0055472, AVERAGE_POPULARITY: 0.5028510, DIVERSITY_MEAN_INTER_LIST: 0.9423654, DIVERSITY_HERFINDAHL: 0.9942296, COVERAGE_ITEM: 0.0420843, COVERAGE_ITEM_CORRECT: 0.0348857, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9361905, DIVERSITY_GINI: 0.0104763, SHANNON_ENTROPY: 7.9859339, RATIO_DIVERSITY_HERFINDAHL: 0.9946021, RATIO_DIVERSITY_GINI: 0.0402125, RATIO_SHANNON_ENTROPY: 0.6414465, RATIO_AVERAGE_POPULARITY: 2.5346121, RATIO_NOVELTY: 0.0326775, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 7, 'epochs': 5, 'confidence_scaling': 'log', 'alpha': 0.007235540186980656, 'epsilon': 0.15130053773863386, 'reg': 3.307478850392686e-05} - results: PRECISION: 0.2168377, PRECISION_RECALL_MIN_DEN: 0.2182392, RECALL: 0.0473486, MAP: 0.1051983, MAP_MIN_DEN: 0.1058275, MRR: 0.4409701, NDCG: 0.2253989, F1: 0.0777251, HIT_RATE: 0.8833749, ARHR_ALL_HITS: 0.6781154, NOVELTY: 0.0053174, AVERAGE_POPULARITY: 0.6446152, DIVERSITY_MEAN_INTER_LIST: 0.8280074, DIVERSITY_HERFINDAHL: 0.9827947, COVERAGE_ITEM: 0.0175536, COVERAGE_ITEM_CORRECT: 0.0147849, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8828571, DIVERSITY_GINI: 0.0036448, SHANNON_ENTROPY: 6.4425748, RATIO_DIVERSITY_HERFINDAHL: 0.9831629, RATIO_DIVERSITY_GINI: 0.0139901, RATIO_SHANNON_ENTROPY: 0.5174808, RATIO_AVERAGE_POPULARITY: 3.2491718, RATIO_NOVELTY: 0.0313238, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 121, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.0025679215337034663, 'epsilon': 0.004482798240151347, 'reg': 8.023844016607544e-05} - results: PRECISION: 0.1898549, PRECISION_RECALL_MIN_DEN: 0.1909180, RECALL: 0.0403632, MAP: 0.0885770, MAP_MIN_DEN: 0.0890424, MRR: 0.4056842, NDCG: 0.1978761, F1: 0.0665729, HIT_RATE: 0.8393197, ARHR_ALL_HITS: 0.5978598, NOVELTY: 0.0058227, AVERAGE_POPULARITY: 0.3512880, DIVERSITY_MEAN_INTER_LIST: 0.9676873, DIVERSITY_HERFINDAHL: 0.9967616, COVERAGE_ITEM: 0.0531591, COVERAGE_ITEM_CORRECT: 0.0443546, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8388278, DIVERSITY_GINI: 0.0166712, SHANNON_ENTROPY: 8.6670307, RATIO_DIVERSITY_HERFINDAHL: 0.9971351, RATIO_DIVERSITY_GINI: 0.0639909, RATIO_SHANNON_ENTROPY: 0.6961536, RATIO_AVERAGE_POPULARITY: 1.7706611, RATIO_NOVELTY: 0.0343005, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 188, 'epochs': 15, 'confidence_scaling': 'log', 'alpha': 0.0028026521885359305, 'epsilon': 0.018617165196789496, 'reg': 0.0014346422755341986} - results: PRECISION: 0.1771954, PRECISION_RECALL_MIN_DEN: 0.1781661, RECALL: 0.0376271, MAP: 0.0816613, MAP_MIN_DEN: 0.0820676, MRR: 0.3876908, NDCG: 0.1851398, F1: 0.0620731, HIT_RATE: 0.8221668, ARHR_ALL_HITS: 0.5607132, NOVELTY: 0.0059862, AVERAGE_POPULARITY: 0.2860081, DIVERSITY_MEAN_INTER_LIST: 0.9750924, DIVERSITY_HERFINDAHL: 0.9975021, COVERAGE_ITEM: 0.0663381, COVERAGE_ITEM_CORRECT: 0.0531591, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8216850, DIVERSITY_GINI: 0.0213898, SHANNON_ENTROPY: 9.0248016, RATIO_DIVERSITY_HERFINDAHL: 0.9978758, RATIO_DIVERSITY_GINI: 0.0821029, RATIO_SHANNON_ENTROPY: 0.7248905, RATIO_AVERAGE_POPULARITY: 1.4416191, RATIO_NOVELTY: 0.0352634, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 70, 'epochs': 30, 'confidence_scaling': 'log', 'alpha': 0.0011667870954205223, 'epsilon': 0.46905522885287787, 'reg': 0.0003368266320476096} - results: PRECISION: 0.2054024, PRECISION_RECALL_MIN_DEN: 0.2067637, RECALL: 0.0444879, MAP: 0.0974218, MAP_MIN_DEN: 0.0979768, MRR: 0.4218326, NDCG: 0.2127246, F1: 0.0731354, HIT_RATE: 0.8631432, ARHR_ALL_HITS: 0.6384790, NOVELTY: 0.0056450, AVERAGE_POPULARITY: 0.4396448, DIVERSITY_MEAN_INTER_LIST: 0.9567831, DIVERSITY_HERFINDAHL: 0.9956713, COVERAGE_ITEM: 0.0438562, COVERAGE_ITEM_CORRECT: 0.0366022, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8626374, DIVERSITY_GINI: 0.0126911, SHANNON_ENTROPY: 8.2737393, RATIO_DIVERSITY_HERFINDAHL: 0.9960443, RATIO_DIVERSITY_GINI: 0.0487136, RATIO_SHANNON_ENTROPY: 0.6645637, RATIO_AVERAGE_POPULARITY: 2.2160223, RATIO_NOVELTY: 0.0332533, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 29, 'epochs': 5, 'confidence_scaling': 'log', 'alpha': 22.78381874424317, 'epsilon': 0.44474019848097984, 'reg': 0.0016198856194693497} - results: PRECISION: 0.1761985, PRECISION_RECALL_MIN_DEN: 0.1776271, RECALL: 0.0425381, MAP: 0.0784470, MAP_MIN_DEN: 0.0790607, MRR: 0.3724515, NDCG: 0.1810419, F1: 0.0685313, HIT_RATE: 0.8256854, ARHR_ALL_HITS: 0.5383840, NOVELTY: 0.0061025, AVERAGE_POPULARITY: 0.3316366, DIVERSITY_MEAN_INTER_LIST: 0.9694063, DIVERSITY_HERFINDAHL: 0.9969335, COVERAGE_ITEM: 0.1885486, COVERAGE_ITEM_CORRECT: 0.1211584, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8252015, DIVERSITY_GINI: 0.0526545, SHANNON_ENTROPY: 10.0029182, RATIO_DIVERSITY_HERFINDAHL: 0.9973070, RATIO_DIVERSITY_GINI: 0.2021098, RATIO_SHANNON_ENTROPY: 0.8034549, RATIO_AVERAGE_POPULARITY: 1.6716085, RATIO_NOVELTY: 0.0359488, 
SearchBayesianSkopt: New best config found. Config 6: {'num_factors': 56, 'epochs': 25, 'confidence_scaling': 'linear', 'alpha': 1.8386728957405905, 'epsilon': 3.9099454666135713, 'reg': 0.0009337230345950711} - results: PRECISION: 0.2317036, PRECISION_RECALL_MIN_DEN: 0.2335496, RECALL: 0.0530935, MAP: 0.1113546, MAP_MIN_DEN: 0.1122223, MRR: 0.4514977, NDCG: 0.2378873, F1: 0.0863910, HIT_RATE: 0.9066852, ARHR_ALL_HITS: 0.7067469, NOVELTY: 0.0056318, AVERAGE_POPULARITY: 0.4757638, DIVERSITY_MEAN_INTER_LIST: 0.9510592, DIVERSITY_HERFINDAHL: 0.9950989, COVERAGE_ITEM: 0.0669472, COVERAGE_ITEM_CORRECT: 0.0523285, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9061538, DIVERSITY_GINI: 0.0155678, SHANNON_ENTROPY: 8.4934859, RATIO_DIVERSITY_HERFINDAHL: 0.9954718, RATIO_DIVERSITY_GINI: 0.0597557, RATIO_SHANNON_ENTROPY: 0.6822142, RATIO_AVERAGE_POPULARITY: 2.3980794, RATIO_NOVELTY: 0.0331756, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'num_factors': 56, 'epochs': 25, 'confidence_scaling': 'linear', 'alpha': 1.8386728957405905, 'epsilon': 3.9099454666135713, 'reg': 0.0009337230345950711} - results:
