SearchBayesianSkopt: Resuming 'ItemKNN_CFCBF_HybridRecommender_mixed_tversky' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 404, 'shrink': 245, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.392927588112716, 'tversky_beta': 1.8133639822586698, 'ICM_weight': 1.1671118619726781} - results: PRECISION: 0.2118492, PRECISION_RECALL_MIN_DEN: 0.2134709, RECALL: 0.0463237, MAP: 0.1033523, MAP_MIN_DEN: 0.1041096, MRR: 0.4445567, NDCG: 0.2225481, F1: 0.0760238, HIT_RATE: 0.8748350, ARHR_ALL_HITS: 0.6748431, NOVELTY: 0.0052039, AVERAGE_POPULARITY: 0.7317080, DIVERSITY_MEAN_INTER_LIST: 0.6669775, DIVERSITY_HERFINDAHL: 0.9666929, COVERAGE_ITEM: 0.0306772, COVERAGE_ITEM_CORRECT: 0.0134559, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8740659, DIVERSITY_GINI: 0.0019128, SHANNON_ENTROPY: 5.3613456, RATIO_DIVERSITY_HERFINDAHL: 0.9670658, RATIO_DIVERSITY_GINI: 0.0077229, RATIO_SHANNON_ENTROPY: 0.4327394, RATIO_AVERAGE_POPULARITY: 3.5719243, RATIO_NOVELTY: 0.0306078, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 404, 'shrink': 245, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.392927588112716, 'tversky_beta': 1.8133639822586698, 'ICM_weight': 1.1671118619726781} - results:
CUTOFF: 10 - PRECISION: 0.2658749, PRECISION_RECALL_MIN_DEN: 0.2671481, RECALL: 0.0466091, MAP: 0.1402526, MAP_MIN_DEN: 0.1408142, MRR: 0.5126912, NDCG: 0.2778407, F1: 0.0793141, HIT_RATE: 0.9225863, ARHR_ALL_HITS: 0.8415386, NOVELTY: 0.0052042, AVERAGE_POPULARITY: 0.7316082, DIVERSITY_MEAN_INTER_LIST: 0.6670531, DIVERSITY_HERFINDAHL: 0.9667004, COVERAGE_ITEM: 0.0316740, COVERAGE_ITEM_CORRECT: 0.0150617, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9219780, DIVERSITY_GINI: 0.0019210, SHANNON_ENTROPY: 5.3630822, RATIO_DIVERSITY_HERFINDAHL: 0.9670733, RATIO_DIVERSITY_GINI: 0.0077558, RATIO_SHANNON_ENTROPY: 0.4328796, RATIO_AVERAGE_POPULARITY: 3.5714373, RATIO_NOVELTY: 0.0306093, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 307, 'shrink': 364, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2557396922063158, 'tversky_beta': 0.3577338970197315, 'ICM_weight': 583.6850931353149} - results: PRECISION: 0.1962898, PRECISION_RECALL_MIN_DEN: 0.1977012, RECALL: 0.0422208, MAP: 0.0920088, MAP_MIN_DEN: 0.0926055, MRR: 0.4078793, NDCG: 0.2032042, F1: 0.0694939, HIT_RATE: 0.8482182, ARHR_ALL_HITS: 0.6094599, NOVELTY: 0.0053892, AVERAGE_POPULARITY: 0.5845523, DIVERSITY_MEAN_INTER_LIST: 0.8475373, DIVERSITY_HERFINDAHL: 0.9847475, COVERAGE_ITEM: 0.0442439, COVERAGE_ITEM_CORRECT: 0.0222050, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8474725, DIVERSITY_GINI: 0.0042658, SHANNON_ENTROPY: 6.6150166, RATIO_DIVERSITY_HERFINDAHL: 0.9851274, RATIO_DIVERSITY_GINI: 0.0172228, RATIO_SHANNON_ENTROPY: 0.5339291, RATIO_AVERAGE_POPULARITY: 2.8535654, RATIO_NOVELTY: 0.0316974, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 596, 'shrink': 268, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9197461188002738, 'tversky_beta': 0.41335631508648374, 'ICM_weight': 5.878363125013017} - results: PRECISION: 0.2018404, PRECISION_RECALL_MIN_DEN: 0.2032822, RECALL: 0.0436694, MAP: 0.0952929, MAP_MIN_DEN: 0.0958780, MRR: 0.4172415, NDCG: 0.2092921, F1: 0.0718037, HIT_RATE: 0.8611233, ARHR_ALL_HITS: 0.6282254, NOVELTY: 0.0053304, AVERAGE_POPULARITY: 0.6266421, DIVERSITY_MEAN_INTER_LIST: 0.8138527, DIVERSITY_HERFINDAHL: 0.9813793, COVERAGE_ITEM: 0.0365469, COVERAGE_ITEM_CORRECT: 0.0168891, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8603663, DIVERSITY_GINI: 0.0033025, SHANNON_ENTROPY: 6.2491228, RATIO_DIVERSITY_HERFINDAHL: 0.9817579, RATIO_DIVERSITY_GINI: 0.0133337, RATIO_SHANNON_ENTROPY: 0.5043960, RATIO_AVERAGE_POPULARITY: 3.0590321, RATIO_NOVELTY: 0.0313517, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 108, 'shrink': 371, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.09672649961043936, 'tversky_beta': 0.8461832086579453, 'ICM_weight': 392.19660734089496} - results: PRECISION: 0.2177959, PRECISION_RECALL_MIN_DEN: 0.2195982, RECALL: 0.0481176, MAP: 0.1060937, MAP_MIN_DEN: 0.1069369, MRR: 0.4502688, NDCG: 0.2278566, F1: 0.0788213, HIT_RATE: 0.8829740, ARHR_ALL_HITS: 0.6884750, NOVELTY: 0.0052158, AVERAGE_POPULARITY: 0.7185754, DIVERSITY_MEAN_INTER_LIST: 0.7297488, DIVERSITY_HERFINDAHL: 0.9729695, COVERAGE_ITEM: 0.0303450, COVERAGE_ITEM_CORRECT: 0.0158924, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8821978, DIVERSITY_GINI: 0.0024647, SHANNON_ENTROPY: 5.7894137, RATIO_DIVERSITY_HERFINDAHL: 0.9733449, RATIO_DIVERSITY_GINI: 0.0099510, RATIO_SHANNON_ENTROPY: 0.4672908, RATIO_AVERAGE_POPULARITY: 3.5078160, RATIO_NOVELTY: 0.0306777, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 108, 'shrink': 371, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.09672649961043936, 'tversky_beta': 0.8461832086579453, 'ICM_weight': 392.19660734089496} - results:
CUTOFF: 10 - PRECISION: 0.2735723, PRECISION_RECALL_MIN_DEN: 0.2747419, RECALL: 0.0480453, MAP: 0.1451417, MAP_MIN_DEN: 0.1456720, MRR: 0.5194113, NDCG: 0.2850507, F1: 0.0817360, HIT_RATE: 0.9310168, ARHR_ALL_HITS: 0.8617758, NOVELTY: 0.0052161, AVERAGE_POPULARITY: 0.7184770, DIVERSITY_MEAN_INTER_LIST: 0.7297951, DIVERSITY_HERFINDAHL: 0.9729742, COVERAGE_ITEM: 0.0315632, COVERAGE_ITEM_CORRECT: 0.0165568, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9304029, DIVERSITY_GINI: 0.0024741, SHANNON_ENTROPY: 5.7912984, RATIO_DIVERSITY_HERFINDAHL: 0.9733495, RATIO_DIVERSITY_GINI: 0.0099888, RATIO_SHANNON_ENTROPY: 0.4674429, RATIO_AVERAGE_POPULARITY: 3.5073355, RATIO_NOVELTY: 0.0306791, 

SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 433, 'shrink': 367, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.012405584914046312, 'tversky_beta': 1.4740183288652666, 'ICM_weight': 92.46428062688715} - results: PRECISION: 0.2126485, PRECISION_RECALL_MIN_DEN: 0.2144657, RECALL: 0.0466560, MAP: 0.1046816, MAP_MIN_DEN: 0.1055140, MRR: 0.4509062, NDCG: 0.2246661, F1: 0.0765227, HIT_RATE: 0.8749817, ARHR_ALL_HITS: 0.6842568, NOVELTY: 0.0051770, AVERAGE_POPULARITY: 0.7460813, DIVERSITY_MEAN_INTER_LIST: 0.6534545, DIVERSITY_HERFINDAHL: 0.9653407, COVERAGE_ITEM: 0.0174428, COVERAGE_ITEM_CORRECT: 0.0098566, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8742125, DIVERSITY_GINI: 0.0016766, SHANNON_ENTROPY: 5.2589690, RATIO_DIVERSITY_HERFINDAHL: 0.9657130, RATIO_DIVERSITY_GINI: 0.0067692, RATIO_SHANNON_ENTROPY: 0.4244761, RATIO_AVERAGE_POPULARITY: 3.6420894, RATIO_NOVELTY: 0.0304493, 
