SearchBayesianSkopt: Extending previous number of cases from 50 to 150.
SearchBayesianSkopt: Search interrupted due to ValueError. The evaluated configurations may have had all the same value.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 1208, 'l1_ratio': 1.046137916765057e-05, 'alpha': 0.5119339467956279} - results: PRECISION: 0.2351565, PRECISION_RECALL_MIN_DEN: 0.2376518, RECALL: 0.0540540, MAP: 0.1152662, MAP_MIN_DEN: 0.1162066, MRR: 0.4636224, NDCG: 0.2435698, F1: 0.0879025, HIT_RATE: 0.9092309, ARHR_ALL_HITS: 0.7279796, NOVELTY: 0.0053084, AVERAGE_POPULARITY: 0.6536793, DIVERSITY_MEAN_INTER_LIST: 0.8141581, DIVERSITY_HERFINDAHL: 0.9814098, COVERAGE_ITEM: 0.0398693, COVERAGE_ITEM_CORRECT: 0.0240323, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9084982, DIVERSITY_GINI: 0.0042627, SHANNON_ENTROPY: 6.5586445, RATIO_DIVERSITY_HERFINDAHL: 0.9817884, RATIO_DIVERSITY_GINI: 0.0172122, RATIO_SHANNON_ENTROPY: 0.5293777, RATIO_AVERAGE_POPULARITY: 3.2324266, RATIO_NOVELTY: 0.0312219, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 1208, 'l1_ratio': 1.046137916765057e-05, 'alpha': 0.5119339467956279} - results:
CUTOFF: 10 - PRECISION: 0.2970677, PRECISION_RECALL_MIN_DEN: 0.2987440, RECALL: 0.0543865, MAP: 0.1592744, MAP_MIN_DEN: 0.1600583, MRR: 0.5413986, NDCG: 0.3071018, F1: 0.0919407, HIT_RATE: 0.9487574, ARHR_ALL_HITS: 0.9210242, NOVELTY: 0.0053085, AVERAGE_POPULARITY: 0.6536383, DIVERSITY_MEAN_INTER_LIST: 0.8141609, DIVERSITY_HERFINDAHL: 0.9814101, COVERAGE_ITEM: 0.0407553, COVERAGE_ITEM_CORRECT: 0.0250291, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9481319, DIVERSITY_GINI: 0.0042708, SHANNON_ENTROPY: 6.5597392, RATIO_DIVERSITY_HERFINDAHL: 0.9817887, RATIO_DIVERSITY_GINI: 0.0172451, RATIO_SHANNON_ENTROPY: 0.5294660, RATIO_AVERAGE_POPULARITY: 3.2322239, RATIO_NOVELTY: 0.0312228, 

SearchBayesianSkopt: New best config found. Config 1: {'topK': 1051, 'l1_ratio': 4.288143601437429e-05, 'alpha': 0.12974800685199264} - results: PRECISION: 0.2404722, PRECISION_RECALL_MIN_DEN: 0.2429241, RECALL: 0.0555807, MAP: 0.1175121, MAP_MIN_DEN: 0.1184670, MRR: 0.4686727, NDCG: 0.2478845, F1: 0.0902921, HIT_RATE: 0.9167828, ARHR_ALL_HITS: 0.7384117, NOVELTY: 0.0054384, AVERAGE_POPULARITY: 0.5842863, DIVERSITY_MEAN_INTER_LIST: 0.8807589, DIVERSITY_HERFINDAHL: 0.9880694, COVERAGE_ITEM: 0.0573121, COVERAGE_ITEM_CORRECT: 0.0362700, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9160440, DIVERSITY_GINI: 0.0076528, SHANNON_ENTROPY: 7.3674952, RATIO_DIVERSITY_HERFINDAHL: 0.9884506, RATIO_DIVERSITY_GINI: 0.0309013, RATIO_SHANNON_ENTROPY: 0.5946636, RATIO_AVERAGE_POPULARITY: 2.8892799, RATIO_NOVELTY: 0.0319867, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 1051, 'l1_ratio': 4.288143601437429e-05, 'alpha': 0.12974800685199264} - results:
CUTOFF: 10 - PRECISION: 0.3004618, PRECISION_RECALL_MIN_DEN: 0.3021211, RECALL: 0.0556673, MAP: 0.1600545, MAP_MIN_DEN: 0.1608249, MRR: 0.5362674, NDCG: 0.3085784, F1: 0.0939316, HIT_RATE: 0.9522762, ARHR_ALL_HITS: 0.9197970, NOVELTY: 0.0054385, AVERAGE_POPULARITY: 0.5842536, DIVERSITY_MEAN_INTER_LIST: 0.8807566, DIVERSITY_HERFINDAHL: 0.9880692, COVERAGE_ITEM: 0.0579213, COVERAGE_ITEM_CORRECT: 0.0371560, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9516484, DIVERSITY_GINI: 0.0076618, SHANNON_ENTROPY: 7.3683267, RATIO_DIVERSITY_HERFINDAHL: 0.9884503, RATIO_DIVERSITY_GINI: 0.0309375, RATIO_SHANNON_ENTROPY: 0.5947308, RATIO_AVERAGE_POPULARITY: 2.8891180, RATIO_NOVELTY: 0.0319874, 

SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1101, 'l1_ratio': 0.00040071715382073906, 'alpha': 0.5832451116492626} - results: PRECISION: 0.2349806, PRECISION_RECALL_MIN_DEN: 0.2373832, RECALL: 0.0538183, MAP: 0.1150469, MAP_MIN_DEN: 0.1159719, MRR: 0.4638563, NDCG: 0.2433234, F1: 0.0875783, HIT_RATE: 0.9098908, ARHR_ALL_HITS: 0.7274071, NOVELTY: 0.0052928, AVERAGE_POPULARITY: 0.6623409, DIVERSITY_MEAN_INTER_LIST: 0.8038292, DIVERSITY_HERFINDAHL: 0.9803770, COVERAGE_ITEM: 0.0376544, COVERAGE_ITEM_CORRECT: 0.0224265, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9091575, DIVERSITY_GINI: 0.0039387, SHANNON_ENTROPY: 6.4526498, RATIO_DIVERSITY_HERFINDAHL: 0.9807552, RATIO_DIVERSITY_GINI: 0.0159041, RATIO_SHANNON_ENTROPY: 0.5208224, RATIO_AVERAGE_POPULARITY: 3.2752576, RATIO_NOVELTY: 0.0311306, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 957, 'l1_ratio': 0.006445087223543026, 'alpha': 0.9399689143853016} - results: PRECISION: 0.2254637, PRECISION_RECALL_MIN_DEN: 0.2276659, RECALL: 0.0510907, MAP: 0.1106274, MAP_MIN_DEN: 0.1115439, MRR: 0.4592267, NDCG: 0.2355316, F1: 0.0833044, HIT_RATE: 0.8975731, ARHR_ALL_HITS: 0.7097892, NOVELTY: 0.0052107, AVERAGE_POPULARITY: 0.7104813, DIVERSITY_MEAN_INTER_LIST: 0.7327857, DIVERSITY_HERFINDAHL: 0.9732732, COVERAGE_ITEM: 0.0252506, COVERAGE_ITEM_CORRECT: 0.0127360, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.8968498, DIVERSITY_GINI: 0.0024013, SHANNON_ENTROPY: 5.7920807, RATIO_DIVERSITY_HERFINDAHL: 0.9736486, RATIO_DIVERSITY_GINI: 0.0096960, RATIO_SHANNON_ENTROPY: 0.4675049, RATIO_AVERAGE_POPULARITY: 3.5133107, RATIO_NOVELTY: 0.0306472, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 956, 'l1_ratio': 0.005905892634637315, 'alpha': 0.6339768419523379} - results: PRECISION: 0.2302295, PRECISION_RECALL_MIN_DEN: 0.2325310, RECALL: 0.0524038, MAP: 0.1126581, MAP_MIN_DEN: 0.1135757, MRR: 0.4611559, NDCG: 0.2392534, F1: 0.0853750, HIT_RATE: 0.9049051, ARHR_ALL_HITS: 0.7176149, NOVELTY: 0.0052458, AVERAGE_POPULARITY: 0.6880518, DIVERSITY_MEAN_INTER_LIST: 0.7716664, DIVERSITY_HERFINDAHL: 0.9771610, COVERAGE_ITEM: 0.0302896, COVERAGE_ITEM_CORRECT: 0.0165568, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9041758, DIVERSITY_GINI: 0.0030479, SHANNON_ENTROPY: 6.1212088, RATIO_DIVERSITY_HERFINDAHL: 0.9775379, RATIO_DIVERSITY_GINI: 0.0123070, RATIO_SHANNON_ENTROPY: 0.4940703, RATIO_AVERAGE_POPULARITY: 3.4023975, RATIO_NOVELTY: 0.0308541, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1487, 'l1_ratio': 0.00011085477303391277, 'alpha': 0.9687267765137165} - results: PRECISION: 0.2315419, PRECISION_RECALL_MIN_DEN: 0.2337969, RECALL: 0.0526321, MAP: 0.1137335, MAP_MIN_DEN: 0.1146794, MRR: 0.4623152, NDCG: 0.2406526, F1: 0.0857681, HIT_RATE: 0.9028521, ARHR_ALL_HITS: 0.7217685, NOVELTY: 0.0052539, AVERAGE_POPULARITY: 0.6854574, DIVERSITY_MEAN_INTER_LIST: 0.7711781, DIVERSITY_HERFINDAHL: 0.9771122, COVERAGE_ITEM: 0.0325046, COVERAGE_ITEM_CORRECT: 0.0188826, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9021245, DIVERSITY_GINI: 0.0031316, SHANNON_ENTROPY: 6.1431181, RATIO_DIVERSITY_HERFINDAHL: 0.9774891, RATIO_DIVERSITY_GINI: 0.0126449, RATIO_SHANNON_ENTROPY: 0.4958387, RATIO_AVERAGE_POPULARITY: 3.3895683, RATIO_NOVELTY: 0.0309015, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1002, 'l1_ratio': 0.004553896337997233, 'alpha': 0.5446301951485909} - results: PRECISION: 0.2323191, PRECISION_RECALL_MIN_DEN: 0.2346590, RECALL: 0.0530977, MAP: 0.1135555, MAP_MIN_DEN: 0.1144715, MRR: 0.4618390, NDCG: 0.2408967, F1: 0.0864393, HIT_RATE: 0.9072513, ARHR_ALL_HITS: 0.7211034, NOVELTY: 0.0052674, AVERAGE_POPULARITY: 0.6752702, DIVERSITY_MEAN_INTER_LIST: 0.7898770, DIVERSITY_HERFINDAHL: 0.9789819, COVERAGE_ITEM: 0.0339443, COVERAGE_ITEM_CORRECT: 0.0187718, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9065201, DIVERSITY_GINI: 0.0034672, SHANNON_ENTROPY: 6.2936075, RATIO_DIVERSITY_HERFINDAHL: 0.9793595, RATIO_DIVERSITY_GINI: 0.0140000, RATIO_SHANNON_ENTROPY: 0.5079853, RATIO_AVERAGE_POPULARITY: 3.3391927, RATIO_NOVELTY: 0.0309810, 
